-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 11/01/2021 through 03/09/2022 
Location: Latitude  26.5064   Longitude 80.2808 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 130.11 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/hour) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
SZA                     CERES SYN1deg Solar Zenith Angle (Degrees) 
ALLSKY_SRF_ALB          CERES SYN1deg All Sky Surface Albedo (dimensionless) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,HR,WD10M,WS10M,PS,PRECTOTCORR,RH2M,QV2M,ALLSKY_SFC_LW_DWN,T2MWET,T2M,T2MDEW,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,SZA,ALLSKY_SRF_ALB,ALLSKY_SFC_SW_DWN
2021,11,1,0,186.96,1.35,99.82,0.0,67.31,8.61,315.05,14.81,17.87,11.76,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,1,195.76,1.32,99.81,0.0,69.31,8.54,311.17,14.37,17.19,11.55,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,2,205.65,1.53,99.79,0.0,72.0,8.42,311.73,13.94,16.46,11.43,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,3,213.5,1.91,99.79,0.0,77.44,8.42,314.08,13.38,15.33,11.44,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,4,219.81,2.2,99.82,0.0,82.0,8.42,311.88,12.87,14.37,11.37,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,5,225.13,2.36,99.86,0.0,84.75,8.3,303.77,12.46,13.7,11.21,0.0,0.0,0.0,-999.0,-999.0,0.0
2021,11,1,6,228.96,2.24,99.92,0.0,86.62,8.61,306.83,12.83,13.93,11.75,0.05,0.02,3.31,81.64,0.16,69.69
2021,11,1,7,230.92,2.3,99.97,0.0,76.25,9.03,313.62,14.57,16.65,12.48,0.58,0.12,10.2,69.65,0.09,237.05
2021,11,1,8,227.88,1.76,100.01,0.0,71.38,9.46,324.17,15.77,18.4,13.15,1.7,0.34,19.12,58.57,0.12,421.11
2021,11,1,9,216.28,1.06,100.02,0.0,68.44,10.74,336.9,18.12,21.12,15.1,3.15,0.63,27.49,49.3,0.15,572.65
2021,11,1,10,253.46,0.82,100.0,0.0,49.06,9.95,345.38,19.61,25.33,13.88,4.25,0.84,32.39,43.08,0.17,662.28
2021,11,1,11,319.74,1.27,99.94,0.0,44.44,9.77,356.05,20.21,26.75,13.67,3.52,0.69,26.53,41.28,0.14,605.72
2021,11,1,12,333.79,1.72,99.86,0.0,44.19,9.95,359.02,20.55,27.16,13.94,2.77,0.55,22.54,44.46,0.16,543.17
